phase,mode,level,success_rate_pct,successes,total,mean_recovery_time_s
phase1,ttc,easy,100.00,25,25,2.6112
phase1,ttc,medium,96.00,24,25,2.9720
phase1,ttc,hard,100.00,25,25,3.9344
phase1,ttc,extreme,52.00,13,25,1.6152
phase1,ttr,easy,56.00,14,25,4.4416
phase1,ttr,medium,28.00,7,25,2.4492
phase1,ttr,hard,44.00,11,25,3.7108
phase1,ttr,extreme,48.00,12,25,4.0268
phase2,ttc,easy,100.00,25,25,2.7872
phase2,ttc,medium,100.00,25,25,3.5396
phase2,ttc,hard,96.00,24,25,3.3660
phase2,ttc,extreme,52.00,13,25,2.8888
phase2,ttr,easy,44.00,11,25,4.3112
phase2,ttr,medium,40.00,10,25,3.8548
phase2,ttr,hard,36.00,9,25,3.0688
phase2,ttr,extreme,16.00,4,25,0.9412
