GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Angular,0,342.1
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Linear,0,342.1
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Angular,0,342.2
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Linear,0,342.2
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Angular,0,342.3
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Linear,0,342.3
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Lidar,Lidar Rate,10,341.36
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Odometry,Odometry Rate,50,341.36
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,TF,TF Rate,10,341.36
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Lidar,Lidar Rate,10,341.46
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Odometry,Odometry Rate,50,341.46
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,TF,TF Rate,10,341.46
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Angular,-0.0189512,342.4
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Linear,0.108564,342.4
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Lidar,Lidar Rate,10,341.56
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Odometry,Odometry Rate,50,341.56
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,TF,TF Rate,10,341.56
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,CovYawYaw,0.0576328,341.5
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,CovYY,0.035435,341.5
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,CovXX,0.18807,341.5
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,MeanYaw,2.93662,341.5
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,MeanY,-2.32443,341.5
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,MeanX,-7.28308,341.5
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Angular,-0.00329139,342.5
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Linear,0.00819586,342.5
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Lidar,Lidar Rate,10,341.66
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Odometry,Odometry Rate,50,341.66
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,TF,TF Rate,10,341.66
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,CovYawYaw,0.02996,341.6
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,CovYY,0.0167988,341.6
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,CovXX,0.15318,341.6
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,MeanYaw,2.85236,341.6
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,MeanY,-2.31138,341.6
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,MeanX,-7.28434,341.6
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Angular,-0.00180131,342.6
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Stability,TF,Jump Linear,0.00389227,342.6
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Lidar,Lidar Rate,10,341.76
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,Odometry,Odometry Rate,50,341.76
78ea1b0ecec335927c2f2c94bac1ebc3,Input Validity,TF,TF Rate,10,341.76
78ea1b0ecec335927c2f2c94bac1ebc3,Localization Quality,AMCLPose,CovYawYaw,0.0105372,341.7
