GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Angular,0,502.3
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Linear,0,502.3
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Lidar,Lidar Rate,10,501.45
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Odometry,Odometry Rate,50,501.45
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,TF,TF Rate,10,501.45
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Angular,0,502.4
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Linear,0,502.4
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Lidar,Lidar Rate,10,501.55
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Odometry,Odometry Rate,50,501.55
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,TF,TF Rate,10,501.55
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Angular,-0.0479446,502.5
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Linear,0.280414,502.5
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Lidar,Lidar Rate,10,501.65
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Odometry,Odometry Rate,50,501.65
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,TF,TF Rate,10,501.65
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Angular,0,502.6
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Linear,0,502.6
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Lidar,Lidar Rate,10,501.75
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Odometry,Odometry Rate,50,501.75
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,TF,TF Rate,10,501.75
95adb903b5156a48cda6d7ddb59d5d07,Localization Quality,AMCLPose,CovYawYaw,0.180954,501.7
95adb903b5156a48cda6d7ddb59d5d07,Localization Quality,AMCLPose,CovYY,0.171025,501.7
95adb903b5156a48cda6d7ddb59d5d07,Localization Quality,AMCLPose,CovXX,0.174717,501.7
95adb903b5156a48cda6d7ddb59d5d07,Localization Quality,AMCLPose,MeanYaw,-1.167,501.7
95adb903b5156a48cda6d7ddb59d5d07,Localization Quality,AMCLPose,MeanY,-1.95631,501.7
95adb903b5156a48cda6d7ddb59d5d07,Localization Quality,AMCLPose,MeanX,2.21658,501.7
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Angular,-0.0122805,502.7
95adb903b5156a48cda6d7ddb59d5d07,Localization Stability,TF,Jump Linear,0.381486,502.7
95adb903b5156a48cda6d7ddb59d5d07,Input Validity,Lidar,Lidar Rate,10,501.85
