GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,208.3
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,208.3
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,207.39
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,207.39
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,207.39
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,208.4
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,208.4
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,207.49
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,207.49
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,207.49
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,208.5
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,208.5
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,207.59
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,207.59
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,207.59
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,208.6
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,208.6
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,207.69
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,207.69
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,207.69
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,208.7
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,208.7
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,207.79
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,207.79
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,207.79
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,207.89
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,207.89
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,207.89
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,-0.0458996,208.8
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0.2682,208.8
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,208.9
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,208.9
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,207.98
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,207.98
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,207.98
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,209
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,209
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.08
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.08
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.08
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovYawYaw,0.0955996,208.1
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovYY,0.203773,208.1
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovXX,0.180906,208.1
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanYaw,-1.09933,208.1
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanY,1.00379,208.1
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanX,3.7378,208.1
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0.0162844,209.1
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0.059937,209.1
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.18
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.18
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.18
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,209.2
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,209.2
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.28
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.28
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.28
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,209.3
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,209.3
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.38
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.38
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.38
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovYawYaw,0.0609512,208.4
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovYY,0.15379,208.4
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovXX,0.13251,208.4
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanYaw,-1.09145,208.4
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanY,1.0139,208.4
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanX,3.77351,208.4
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0.0357155,209.4
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0.0119122,209.4
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.48
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.48
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.48
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.58
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.58
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.58
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,209.5
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,209.5
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovYawYaw,0.0376304,208.6
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovYY,0.0871094,208.6
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,CovXX,0.0847516,208.6
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanYaw,-1.12215,208.6
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanY,1.04154,208.6
c318504ba938abf0cf989470c8ecddab,Localization Quality,AMCLPose,MeanX,3.79539,208.6
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0.0236527,209.6
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0.014273,209.6
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.68
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.68
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.68
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,209.7
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,209.7
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.78
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.78
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.78
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Angular,0,209.8
c318504ba938abf0cf989470c8ecddab,Localization Stability,TF,Jump Linear,0,209.8
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.88
c318504ba938abf0cf989470c8ecddab,Input Validity,Odometry,Odometry Rate,50,208.88
c318504ba938abf0cf989470c8ecddab,Input Validity,TF,TF Rate,10,208.88
c318504ba938abf0cf989470c8ecddab,Input Validity,Lidar,Lidar Rate,10,208.98
