GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Angular,0,52.3
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Linear,0,52.3
2bbbfbcbf108e681890da862598f7dee,Input Validity,Lidar,Lidar Rate,10,51.42
2bbbfbcbf108e681890da862598f7dee,Input Validity,Odometry,Odometry Rate,50,51.42
2bbbfbcbf108e681890da862598f7dee,Input Validity,TF,TF Rate,10,51.42
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Angular,0,52.4
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Linear,0,52.4
2bbbfbcbf108e681890da862598f7dee,Input Validity,Lidar,Lidar Rate,10,51.52
2bbbfbcbf108e681890da862598f7dee,Input Validity,Odometry,Odometry Rate,50,51.52
2bbbfbcbf108e681890da862598f7dee,Input Validity,TF,TF Rate,10,51.52
2bbbfbcbf108e681890da862598f7dee,Input Validity,Lidar,Lidar Rate,10,51.62
2bbbfbcbf108e681890da862598f7dee,Input Validity,Odometry,Odometry Rate,50,51.62
2bbbfbcbf108e681890da862598f7dee,Input Validity,TF,TF Rate,10,51.62
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Angular,-0.00493449,52.5
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Linear,0.0176999,52.5
2bbbfbcbf108e681890da862598f7dee,Input Validity,Lidar,Lidar Rate,10,51.71
2bbbfbcbf108e681890da862598f7dee,Input Validity,Odometry,Odometry Rate,50,51.71
2bbbfbcbf108e681890da862598f7dee,Input Validity,TF,TF Rate,10,51.71
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovYawYaw,0.0806887,51.6
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovYY,0.15622,51.6
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovXX,0.142437,51.6
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanYaw,0.128605,51.6
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanY,-0.242379,51.6
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanX,0.0191289,51.6
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Angular,0.0060759,52.6
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Linear,0.0513703,52.6
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovYawYaw,0.0451331,51.7
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovYY,0.11726,51.7
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovXX,0.0959665,51.7
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanYaw,0.212847,51.7
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanY,-0.186871,51.7
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanX,-0.0170252,51.7
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Angular,0.00944744,52.7
2bbbfbcbf108e681890da862598f7dee,Localization Stability,TF,Jump Linear,0.0662444,52.7
2bbbfbcbf108e681890da862598f7dee,Input Validity,Lidar,Lidar Rate,10,51.81
2bbbfbcbf108e681890da862598f7dee,Input Validity,Odometry,Odometry Rate,50,51.81
2bbbfbcbf108e681890da862598f7dee,Input Validity,TF,TF Rate,10,51.81
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovYawYaw,0.0229192,51.8
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovYY,0.0673065,51.8
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,CovXX,0.057238,51.8
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanYaw,0.306755,51.8
2bbbfbcbf108e681890da862598f7dee,Localization Quality,AMCLPose,MeanY,-0.122194,51.8
