GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00241491,344.9
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00355146,344.9
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.0065546,344.9
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-2.71004,344.9
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.42577,344.9
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.38222,344.9
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,-0.00113099,345.9
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.0142462,345.9
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,344.98
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,344.98
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,344.98
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00260681,345
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00364044,345
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.0064926,345
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-2.6015,345
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.42681,345
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.38327,345
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,-0.00294945,346
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.0352527,346
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.07
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.07
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.07
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00355317,345.1
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00391094,345.1
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00758581,345.1
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-2.47455,345.1
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.42367,345.1
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.38017,345.1
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,-0.00153217,346.1
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.0220384,346.1
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.17
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.17
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.17
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00457216,345.2
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00422999,345.2
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00831548,345.2
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-2.32984,345.2
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.42322,345.2
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.38107,345.2
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,-0.000751611,346.2
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.00832583,346.2
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.27
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.27
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.27
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00594489,345.3
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00493367,345.3
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00923052,345.3
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-2.16844,345.3
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.42403,345.3
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.37736,345.3
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,-0.00104335,346.3
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.0165848,346.3
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.37
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.37
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.37
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00684946,345.4
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00496354,345.4
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00887404,345.4
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-1.98863,345.4
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.42328,345.4
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.37332,345.4
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,0.000388935,346.4
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.00121348,346.4
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.47
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.47
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.47
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.57
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.57
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.57
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00706098,345.5
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00549178,345.5
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00757296,345.5
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-1.7915,345.5
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.4208,345.5
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.37815,345.5
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,0.000726829,346.5
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.0140565,346.5
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.67
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.67
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.67
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00679591,345.6
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00601856,345.6
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00675041,345.6
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-1.57723,345.6
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.41501,345.6
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.38184,345.6
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,0.00139038,346.6
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.0217646,346.6
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Lidar,Lidar Rate,10,345.77
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,Odometry,Odometry Rate,50,345.77
fbae2bb88d984ab4252fa8e13d30d08b,Input Validity,TF,TF Rate,10,345.77
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00684015,345.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00680634,345.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00507085,345.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-1.36084,345.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.41348,345.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanX,-7.38462,345.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Angular,-0.00360664,346.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Stability,TF,Jump Linear,0.0415021,346.7
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYawYaw,0.00785699,345.8
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovYY,0.00662645,345.8
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,CovXX,0.00469222,345.8
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanYaw,-1.13869,345.8
fbae2bb88d984ab4252fa8e13d30d08b,Localization Quality,AMCLPose,MeanY,-2.41162,345.8
