GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYawYaw,0.00205705,518.9
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYY,0.00282679,518.9
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovXX,0.00161092,518.9
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanYaw,2.57253,518.9
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanY,3.86231,518.9
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanX,0.978206,518.9
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Angular,-0.000703807,519.9
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Linear,0.00503391,519.9
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Lidar,Lidar Rate,10,519.02
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Odometry,Odometry Rate,50,519.02
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,TF,TF Rate,10,519.02
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYawYaw,0.00191847,519
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYY,0.00280326,519
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovXX,0.00175074,519
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanYaw,2.6785,519
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanY,3.86059,519
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanX,0.976122,519
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Angular,0.000347824,520
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Linear,0.00545881,520
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Lidar,Lidar Rate,10,519.12
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Odometry,Odometry Rate,50,519.12
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,TF,TF Rate,10,519.12
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYawYaw,0.00187362,519.1
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYY,0.00237535,519.1
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovXX,0.00210678,519.1
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanYaw,2.80237,519.1
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanY,3.86654,519.1
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanX,0.971709,519.1
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Angular,0.00126551,520.1
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Linear,0.0101626,520.1
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Lidar,Lidar Rate,10,519.22
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Odometry,Odometry Rate,50,519.22
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,TF,TF Rate,10,519.22
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYawYaw,0.00200988,519.2
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYY,0.00198431,519.2
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovXX,0.00272926,519.2
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanYaw,2.94419,519.2
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanY,3.8705,519.2
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanX,0.969194,519.2
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Angular,0.00223315,520.2
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Stability,TF,Jump Linear,0.016652,520.2
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Lidar,Lidar Rate,10,519.31
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,Odometry,Odometry Rate,50,519.31
b193dcb6aa8f242ad3b52b36a9cbc490,Input Validity,TF,TF Rate,10,519.31
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYawYaw,0.00212679,519.3
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovYY,0.00159607,519.3
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,CovXX,0.00352795,519.3
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanYaw,3.10043,519.3
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanY,3.8753,519.3
b193dcb6aa8f242ad3b52b36a9cbc490,Localization Quality,AMCLPose,MeanX,0.961913,519.3
