GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.000262061,50.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,5.39233e-07,50.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,0.000337429,50.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.115751,50.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,4.38453e-06,50.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.000405394,50.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.000474414,51.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,8.13557e-05,51.3
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.00394333,50.4
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.0155229,50.4
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,0.109836,50.4
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.186804,50.4
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,7.75319e-05,50.4
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.00125839,50.4
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.000601073,51.4
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.000856123,51.4
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,50.62
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,50.62
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,50.62
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.000620407,50.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,1.63403e-05,50.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,0.000945537,50.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.274233,50.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,0.000182465,50.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.00134683,50.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.00121351,51.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.000137235,51.5
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.127744,50.6
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.586326,50.6
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,1.81337,50.6
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.378397,50.6
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,0.000575432,50.6
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.00340133,50.6
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.00146007,51.6
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.00209175,51.6
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,50.72
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,50.72
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,50.72
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.0181273,50.7
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.0395059,50.7
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,0.17445,50.7
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.498628,50.7
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,0.000970125,50.7
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.00535246,50.7
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.00237347,51.7
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.00199065,51.7
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,50.82
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,50.82
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,50.82
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.203146,50.8
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.810703,50.8
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,2.6115,50.8
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.638502,50.8
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,0.000247957,50.8
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.00451175,50.8
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,-0.000288775,51.8
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.00110829,51.8
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,50.92
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,50.92
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,50.92
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.212254,50.9
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.91644,50.9
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,2.69585,50.9
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.793029,50.9
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,0.000493581,50.9
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.00397599,50.9
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.00203961,51.9
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.000589382,51.9
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,51.02
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,51.02
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,51.02
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.208558,51
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.987196,51
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,2.83377,51
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-0.96537,51
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,-0.00106868,51
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,-0.00145776,51
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.00120662,52
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.00296347,52
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,51.11
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,51.11
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,51.11
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.040701,51.1
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.184874,51.1
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,0.572302,51.1
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-1.14277,51.1
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,-0.00486551,51.1
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,0.00324804,51.1
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,0.0131268,52.1
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.00604653,52.1
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,51.21
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,51.21
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,51.21
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.0115616,51.2
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYY,0.0330705,51.2
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovXX,0.103991,51.2
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanYaw,-1.35305,51.2
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanY,-0.00299265,51.2
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,MeanX,0.00144536,51.2
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Angular,-0.00276869,52.2
e2ae9f9f64be00a5448fc12c5c39cede,Localization Stability,TF,Jump Linear,0.00259947,52.2
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Lidar,Lidar Rate,10,51.31
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,Odometry,Odometry Rate,50,51.31
e2ae9f9f64be00a5448fc12c5c39cede,Input Validity,TF,TF Rate,10,51.31
e2ae9f9f64be00a5448fc12c5c39cede,Localization Quality,AMCLPose,CovYawYaw,0.00427682,51.3
