GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,172.2
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,172.2
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.31
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.31
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.31
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0.000568978,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0.00187149,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.41
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.41
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.41
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,172.4
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,172.4
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.51
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.51
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.51
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,172.5
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,172.5
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.61
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.61
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.61
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYawYaw,0.00357429,171.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYY,0.000966949,171.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovXX,0.000884512,171.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanYaw,-0.847833,171.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanY,1.37188,171.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanX,3.81793,171.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0.00143845,172.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0.00317564,172.6
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.71
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.71
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.71
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,172.7
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,172.7
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.78
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.78
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.78
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.82
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.82
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.82
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,172.8
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,172.8
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,171.92
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,171.92
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,171.92
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.02
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.02
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.02
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.12
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.12
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.12
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.22
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.22
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.22
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYawYaw,7.43479,171.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYY,7.0909,171.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovXX,23.5636,171.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanYaw,-2.59504,171.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanY,-0.653578,171.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanX,0.339406,171.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,-1.65985,172.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,1.3863,172.9
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,173
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,173
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.32
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.32
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.32
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.41
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.41
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.41
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYawYaw,6.21489,172.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYY,6.67869,172.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovXX,22.4062,172.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanYaw,-2.56499,172.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanY,-0.66319,172.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanX,0.460755,172.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0.114621,173.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0.150591,173.1
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,173.2
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,173.2
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.51
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.51
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.51
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.61
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.61
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.61
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.71
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.71
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.71
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYawYaw,5.72791,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYY,6.43277,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovXX,22.0017,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanYaw,-2.90762,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanY,-0.656549,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,MeanX,0.555952,172.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,-0.279445,173.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,1.0266,173.3
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,173.4
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,173.4
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Angular,0,173.5
cae6cd98b7d52ade19cbe101a6a587e3,Localization Stability,TF,Jump Linear,0,173.5
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Lidar,Lidar Rate,10,172.81
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,Odometry,Odometry Rate,50,172.81
cae6cd98b7d52ade19cbe101a6a587e3,Input Validity,TF,TF Rate,10,172.81
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYawYaw,5.79029,172.6
cae6cd98b7d52ade19cbe101a6a587e3,Localization Quality,AMCLPose,CovYY,6.66876,172.6
