GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.000380485,338.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,2.697e-06,338.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.000284018,338.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.98848,338.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37493,338.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42629,338.9
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.00138154,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00187291,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.00319044,339
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.00643927,339
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.220712,339
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.9177,339
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37498,339
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42609,339
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.00147228,340
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00232367,340
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.000900505,339.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,2.58941e-05,339.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.000818971,339.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.83043,339.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37493,339.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42629,339.1
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.000984435,340.1
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.0014167,340.1
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.22
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.22
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.22
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.131171,339.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.638709,339.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,5.65299,339.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.72565,339.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37476,339.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42709,339.2
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.00152698,340.2
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00206143,340.2
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.31
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.31
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.31
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.0282766,339.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.0929208,339.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,1.10841,339.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.60509,339.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37526,339.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42559,339.3
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.000325756,340.3
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00182269,340.3
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.42
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.42
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.42
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.1912,339.4
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.969451,339.4
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,7.24536,339.4
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.46896,339.4
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37488,339.4
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42623,339.4
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,0.0010887,340.4
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00191968,340.4
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.51
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.51
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.51
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.212069,339.5
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,1.0772,339.5
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,7.78306,339.5
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.31246,339.5
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37558,339.5
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.4256,339.5
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.00229284,340.5
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00347539,340.5
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.61
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.61
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.61
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.213853,339.6
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,1.29288,339.6
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,7.87493,339.6
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,2.14044,339.6
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37658,339.6
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42488,339.6
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.000844173,340.6
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00154543,340.6
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.71
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.71
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.71
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.0325218,339.7
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.115217,339.7
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,1.28736,339.7
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,1.95444,339.7
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.38216,339.7
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.41844,339.7
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,0.00216435,340.7
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00916681,340.7
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.81
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.81
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.81
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.0116992,339.8
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.00952827,339.8
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.320588,339.8
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,1.75309,339.8
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37787,339.8
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42389,339.8
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,0.00379147,340.8
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00913701,340.8
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,339.91
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,339.91
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,339.91
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.00512494,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.00492041,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.00272883,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,1.53674,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37172,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.42864,339.9
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,0.00234627,340.9
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00780627,340.9
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,340.01
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,340.01
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,340.01
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.0052379,340
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.00661327,340
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.00243442,340
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,1.31483,340
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.36985,340
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.43279,340
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.00191551,341
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00470519,341
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,340.11
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,340.11
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,340.11
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.00456607,340.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.00634098,340.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.00233316,340.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,1.09327,340.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.38066,340.1
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.43257,340.1
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.00156037,341.1
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00916361,341.1
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,340.21
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,340.21
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,340.21
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.0068593,340.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.00825607,340.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.00290122,340.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,0.871529,340.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.3788,340.2
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.43142,340.2
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,-0.00173909,341.2
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Linear,0.00481193,341.2
39af6e093e0cc0b586c81327abd293b8,Input Validity,Lidar,Lidar Rate,10,340.31
39af6e093e0cc0b586c81327abd293b8,Input Validity,Odometry,Odometry Rate,50,340.31
39af6e093e0cc0b586c81327abd293b8,Input Validity,TF,TF Rate,10,340.31
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYawYaw,0.00962648,340.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovYY,0.00965039,340.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,CovXX,0.00375587,340.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanYaw,0.657499,340.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanY,-2.37741,340.3
39af6e093e0cc0b586c81327abd293b8,Localization Quality,AMCLPose,MeanX,-7.4307,340.3
39af6e093e0cc0b586c81327abd293b8,Localization Stability,TF,Jump Angular,0.000970491,341.3
